"","X","nameFirst","nameLast","BAT_ID","Position","RE24","PA","Runs.Start","salaries","total_inn","total_def","UZR_150",".hat",".sigma",".cooksd",".fitted",".resid",".stdresid","Over_Underpaid","Pct_Over_Underpaid","Real_Salary_Millions","Fitted_Millions","Resid_Millions"
"1",30,"Shin-Soo","Choo","choos001","DH",23.95109302,659,333.5639142,2.1e+07,688.2,-12.6,-27.8,1,0,NA,2.1e+07,0,NA,NA,"0%",21,21,0
"2",45,"Edwin","Encarnacion","encae001","DH",33.48446516,486,241.0498566,1.2e+07,489,-5.1,-1.8,1,0,NA,1.2e+07,0,NA,NA,"0%",12,12,0
"3",131,"Jorge","Soler","solej001","DH",35.43364659,679,353.7960119,7300000,447.1,-5.7,-9.9,1,0,NA,7299999.99999999,0,NA,NA,"0%",7.3,7.29999999999999,0
