"","FirstName","LastName","positions","salaries"
"140","Michael","Conforto","Right Field",8e+06
"141","Jake","Marisnick","Center Field",3312500
"142","Brandon","Nimmo","Center Field",2175000
"143","Giancarlo","Stanton","Designated Hitter",2.6e+07
"144","D.J.","LeMahieu","2nd Base",1.2e+07
"145","Aaron","Hicks","Center Field",10785714
"146","Brett","Gardner","Center Field",1e+07
"147","Aaron","Judge","Right Field",8500000
"148","Gary","Sanchez","Catcher",5e+06
"149","Khris","Davis","Designated Hitter",16750000
"150","Marcus","Semien","Shortstop",1.3e+07
"151","Mark","Canha","Left Field",4800000
"152","Robbie","Grossman","Outfielders",3725000
"153","Chad","Pinder","Left Field",2025000
"154","Bryce","Harper","Right Field",27538462
"155","Andrew","McCutchen","Left Field",1.7e+07
"156","Jean","Segura","2nd Base",14850000
"157","Jay","Bruce","Right Field",1.4e+07
"158","Didi","Gregorius","Shortstop",1.4e+07
"159","Josh","Harrison","2nd Base",1e+06
"160","Neil","Walker","2nd Base",1e+06
"161","J.T.","Realmuto","Catcher",1e+07
"162","Andrew","Knapp","Catcher",710000
"163","Jarrod","Dyson","Center Field",2e+06
"164","Josh","Bell","1st Base",4800000
"165","Adam","Frazier","2nd Base",2800000
"166","Guillermo","Heredia","Center Field",1e+06
"167","Luke","Maile","Catcher",9e+05
"168","J.T.","Riddle","Shortstop",850000
"169","Erik","Gonzalez","2nd Base",725000
"170","John","Ryan Murphy","Catcher",575000
"171","Manny","Machado","3rd Base",3.2e+07
"172","Wil","Myers","Left Field",22500000
"173","Eric","Hosmer","1st Base",2.1e+07
"174","Tommy","Pham","Left Field",7900000
"175","Jurickson","Profar","2nd Base",5700000
"176","Austin","Hedges","Catcher",3e+06
"177","Greg","Garcia","2nd Base",1500000
"178","Buster","Posey","Catcher",22177777
"179","Brandon","Belt","1st Base",17200000
"180","Brandon","Crawford","Shortstop",15200000
"181","Evan","Longoria","3rd Base",1.5e+07
"182","Wilmer","Flores","2nd Base",3e+06
"183","Hunter","Pence","Right Field",3e+06
"184","Pablo","Sandoval","3rd Base",2e+06
"185","Billy","Hamilton","Center Field",1e+06
"186","Donovan","Solano","2nd Base",1375000
"187","Alex","Dickerson","Left Field",925000
"188","Darin","Ruf","1st Base",563500
"189","Kyle","Seager","3rd Base",19500000
"190","Dee","Gordon","2nd Base",13800000
"191","Mitch","Haniger","Right Field",3010000
"192","Mallex","Smith","Center Field",2350000
"193","Paul","Goldschmidt","1st Base",2.6e+07
"194","Yadier","Molina","Catcher",2e+07
"195","Matt","Carpenter","3rd Base",18500000
"196","Dexter","Fowler","Right Field",16500000
"197","Kolten","Wong","2nd Base",10250000
"198","Brad","Miller","2nd Base",2e+06
"199","Matt","Wieters","Catcher",2e+06
"200","Kevin","Kiermaier","Center Field",10166666
"201","Mike","Zunino","Catcher",4500000
"202","Hunter","Renfroe","Right Field",3300000
"203","Manuel","Margot","Center Field",2475000
"204","Jose","Martinez","1st Base",2125000
"205","Daniel","Robertson","Shortstop",1025000
"206","Shin-Soo","Choo","Designated Hitter",2.1e+07
"207","Elvis","Andrus","Shortstop",15250000
"208","Robinson","Chirinos","Catcher",5750000
"209","Todd","Frazier","3rd Base",3500000
"210","Jeff","Mathis","Catcher",3e+06
"211","Joey","Gallo","Right Field",4400000
"212","Daniel","Santana","Center Field",3600000
"213","Travis","Shaw","1st Base",4e+06
"214","Joe","Panik","2nd Base",2850000
"215","Brandon","Drury","3rd Base",2050000
"216","Adam","Eaton","Right Field",9500000
"217","Starlin","Castro","2nd Base",6e+06
"218","Kurt","Suzuki","Catcher",6e+06
"219","Yan","Gomes","Catcher",4e+06
"220","Howie","Kendrick","2nd Base",4e+06
"221","Eric","Thames","1st Base",3e+06
"222","Asdrubal","Cabrera","3rd Base",2500000
"223","Ryan","Zimmerman","1st Base",2e+06
"224","Trea","Turner","Shortstop",7450000
"225","Michael","Taylor","Center Field",3325000
"226","Wilmer","Difo","Shortstop",1e+06
