,nameFirst,nameLast,BAT_ID,RE24,PA,Runs.Start
103,Bobby,Bradley,bradb002,-3.252374697,49,26.93871873
104,Jackie,Bradley,bradj001,-8.92169415,567,299.2076059
105,Michael,Brantley,branm003,26.09358349,637,331.4033961
106,Rob,Brantly,branr002,-0.333237863,1,0.333237863
107,Ryan,Braun,braur002,12.66636735,508,256.5424049
108,Steven,Brault,braus002,-3.297336521,50,26.68408436
109,John,Brebbia,brebj001,0.407540299,1,0.534538863
110,Alex,Bregman,brega001,52.57710086,690,356.0779745
111,Jeff,Brigham,brigj002,-0.238764045,1,0.238764045
112,Lewis,Brinson,brinl001,-23.56123271,248,125.0357226
113,Socrates,Brito,brits001,-6.276623041,43,22.24725706
114,Aaron,Brooks,brooa001,-0.938215573,4,1.781016885
115,Mike,Brosseau,brosm001,2.148891774,142,71.78124438
116,Seth,Brown,brows003,1.624207848,83,53.05786386
117,Keon,Broxton,broxk001,-23.36037787,228,123.3240414
118,Jay,Bruce,brucj001,-0.911729776,332,161.7214001
119,Kris,Bryant,bryak001,27.13358536,634,300.6449367
120,Walker,Buehler,buehw001,-11.73715959,66,34.58832643
121,Madison,Bumgarner,bumgm001,-9.593313379,76,38.45335996
122,Dylan,Bundy,bundd001,-0.356909857,2,0.646992085
123,Corbin,Burnes,burnc002,-0.804065472,8,3.79082856
124,Drew,Butera,buted001,-5.776425676,49,26.56575112
125,Byron,Buxton,buxtb001,4.284788136,295,158.0630224
126,Asdrubal,Cabrera,cabra002,20.33985731,514,280.8553412
127,Genesis,Cabrera,cabrg001,-1.575178263,4,2.272600931
128,Miguel,Cabrera,cabrm001,5.392069748,549,286.9695795
129,Melky,Cabrera,cabrm002,-4.027637709,397,215.6159198
130,Trevor,Cahill,cahit001,-0.146644924,3,0.8189285
131,Lorenzo,Cain,cainl001,-20.68212611,623,311.2946016
132,Kole,Calhoun,calhk001,1.061804305,632,320.2657331
133,Willie,Calhoun,calhw001,4.166911059,337,174.7349208
134,Johan,Camargo,camaj001,-3.646590282,248,131.0902729
135,Jeimer,Candelario,candj002,-13.08619461,386,201.1694784
136,Mark,Canha,canhm001,25.64635376,497,260.9450186
137,Griffin,Canning,canng001,-0.416393051,2,0.528846273
138,Robinson,Cano,canor001,-12.36342424,422,208.660516
139,Matt,Carasiti,caram001,-0.44357499,1,1.16692284
140,Victor,Caratini,carav001,0.834089165,279,147.179824
141,Shane,Carle,carls002,-0.238764045,1,0.238764045
142,Matt,Carpenter,carpm002,-5.4485824,491,251.6615301
143,Ryan,Carpenter,carpr001,-1.06269589,2,1.06269589
144,Curt,Casali,casac001,3.186101394,236,115.5209184
145,Andrew,Cashner,casha001,-0.959707106,3,1.820901178
146,Diego,Castillo,castd002,-0.238764045,1,0.238764045
147,Harold,Castro,casth001,-4.688906158,369,178.7666689
148,Jason,Castro,castj006,-1.625760072,275,151.776755
149,Luis,Castillo,castl003,-18.46624614,66,39.27100884
150,Nick,Castellanos,castn001,17.85883632,664,313.2652131
151,Starlin,Castro,casts001,-12.16438758,676,348.0455637
152,Wilkin,Castillo,castw001,0.671846255,7,2.821720519
153,Welington,Castillo,castw002,-2.829577529,251,130.8319033
154,Willi,Castro,castw003,-8.067825405,110,57.21350892
155,Jake,Cave,cavej001,0.706903505,228,121.1777921
156,Juan,Centeno,centj001,-0.583627434,18,7.215918034
157,Francisco,Cervelli,cervf001,-7.388432938,160,78.26559782
158,Luis,Cessa,cessl001,-0.244456635,1,0.534538863
159,Jhoulys,Chacin,chacj001,-3.86138659,25,9.939060086
160,Yu,Chang,chany001,-7.630582742,84,42.8107446
161,Matt,Chapman,chapm001,28.38386405,670,330.2820034
162,J.T.,Chargois,charj001,-0.244456635,1,0.534538863
163,Tyler,Chatwood,chatt001,-3.094135697,21,13.31764964
164,Jesse,Chavez,chavj001,0.030984082,2,0.528846273
165,Michael,Chavis,chavm001,1.01098108,382,218.1530288
166,Wei-Yin,Chen,chenw001,-0.950931914,5,1.465920585
167,Robinson,Chirinos,chirr001,6.289270024,437,236.3013684
168,Yonny,Chirinos,chiry001,-0.796909569,2,1.793189657
169,Ji-Man,Choi,choij001,10.62191653,487,260.5251494
170,Shin-Soo,Choo,choos001,23.95109302,659,333.5639142
171,Steve,Cishek,cishs001,-0.48322068,2,0.773302908
172,Nick,Ciuffo,ciufn001,-1.017811795,6,4.817781416
173,Aaron,Civale,civaa001,-0.433519531,2,0.672283576
174,Taylor,Clarke,clart003,-3.747356393,25,14.46365642
175,Mike,Clevinger,clevm001,-0.703115259,2,0.993197486
176,Gerrit,Cole,coleg001,-1.85548148,7,2.640218278
177,Zack,Collins,collz001,0.585934903,102,50.74537333
178,Christian,Colon,coloc002,0.558603055,8,4.727289831
179,Michael,Conforto,confm001,25.46174596,648,336.2090869
180,Adam,Conley,conla001,-0.244456635,1,0.534538863
181,Willson,Contreras,contw001,11.35979447,409,214.5043579
182,Garrett,Cooper,coopg002,6.865120713,421,206.583085
183,Patrick,Corbin,corbp001,-10.55034657,72,39.66871475
184,Franchy,Cordero,cordf003,-0.112497666,20,10.26945524
185,Jimmy,Cordero,cordj001,-0.130827933,1,1.554425612
186,Ryan,Cordell,cordr001,-11.85428652,247,123.6713429
187,Carlos,Correa,corrc001,11.93681669,321,184.5976335
188,Ryan,Court,courr001,-0.740649028,25,12.41024083
189,Dylan,Covey,coved001,-0.356909857,2,0.646992085
190,Kaleb,Cowart,cowak001,-3.777790148,26,15.26918079
191,Zack,Cozart,cozaz001,-13.96050354,107,58.82986615
192,Dylan,Cozens,cozed001,-0.112453222,1,0.112453222
193,Brandon,Crawford,crawb001,-11.04266405,560,290.2154019
194,J. P.,Crawford,crawj002,1.037019582,396,204.4688281
195,C. J.,Cron,cronc002,0.53311269,500,251.5103768
196,Kevin,Cron,cronk001,-1.747142722,78,44.11980391
197,Nelson,Cruz,cruzn002,49.13804248,520,276.3703103
198,Johnny,Cueto,cuetj001,-0.778995499,4,1.471613175
