"","nameFirst","nameLast","BAT_ID","Position","RE24","PA","Runs.Start","salaries","total_inn","total_def","UZR_150"
"61","Marwin","Gonzalez","gonzm002","3B",-4.132114601,463,212.4587285,9e+06,326.2,-3.4,-5.1
"62","Brian","Goodwin","goodb001","RF",-2.180197872,458,232.1787367,2200000,507.2,-6.9,-12.6
"63","Alex","Gordon","gorda001","LF",6.355968707,633,322.812186,4e+06,1260,-3.3,3.1
"64","Dee","Gordon","gordd002","2B",-9.898037765,421,219.5965207,13800000,918.1,0.7,-1.4
"65","Yasmani","Grandal","grany001","C",19.16576952,632,330.9640657,18250000,1095.2,23.4,NA
"66","Didi","Gregorius","gregd001","SS",5.149444065,344,178.71341,1.4e+07,688.1,3.7,0.1
"67","Robbie","Grossman","grosr001",NA,-5.832485853,482,236.2694876,3725000,844.1,-0.7,5.1
"68","Billy","Hamilton","hamib001","CF",-18.8485685,353,184.0984935,1e+06,826,9.3,15.3
"69","Bryce","Harper","harpb003","RF",46.35280982,682,347.7969025,27538462,1318,3.2,11
"70","Austin","Hedges","hedga001","C",-17.8219989,347,166.4131364,3e+06,813,27.6,NA
"71","Cesar","Hernandez","hernc005","2B",-7.877998723,667,342.190291,6250000,1376.2,1.6,-0.7
"72","Enrique","Hernandez","herne001","CF",-7.681908386,460,238.8457041,5900000,589.1,0.9,-0.3
"73","Jason","Heyward","heywj001","RF",-0.898468727,589,305.2748547,23500000,1221.3,-1.7,0.899999999999999
"74","Eric","Hosmer","hosme001","1B",13.00083187,667,331.4793213,2.1e+07,1356,-12.2,-0.6
"75","Jose","Iglesias","iglej001","SS",-6.07087677,530,274.2252996,2500000,1169.2,11.9,7.6
"76","Aaron","Judge","judga001","RF",19.25845496,447,228.6741934,8500000,775.1,8.7,24.2
"77","Howie","Kendrick","kendh001","2B",21.97814286,370,203.2580008,4e+06,336,-3.4,-1.3
"78","Kevin","Kiermaier","kierk001","CF",-11.48075673,480,246.6442754,10166666,1044.1,8.7,9.8
"79","Tommy","La Stella","lastt001","2B",1.724148876,321,168.3415835,3250000,346.1,-0.7,-3.6
"80","Francisco","Lindor","lindf001","SS",9.542593963,654,331.0622274,17500000,1196.1,12.6,7.4
"81","Evan","Longoria","longe001","3B",4.900058872,508,271.3320595,1.5e+07,1041,4.6,3.1
"82","Manny","Machado","machm001","3B",6.30737751,661,311.8620855,3.2e+07,1040,4.9,3.8
"83","Martin","Maldonado","maldm001","C",-15.0278762,374,188.6501277,3500000,848.2,9.3,NA
"84","Trey","Mancini","manct001","RF",22.71545967,679,339.4612354,4750000,1122.3,-10.9,-3.3
"85","Manuel","Margot","margm001","CF",-16.03446105,441,216.0909507,2475000,943.1,7.5,7.5
"86","Jake","Marisnick","marij002","CF",-12.069508,318,170.0105445,3312500,733,4.6,5.4
"87","Nick","Markakis","markn001","RF",9.954868536,469,250.8353182,4e+06,869,-13.5,-14.2
"88","Jose","Martinez","martj008","1B",2.88803997,373,194.2194285,2125000,522.2,-7.1,-11.4
"89","Starling","Marte","marts002","CF",14.98211807,586,310.7545168,11500000,1141.1,-5.7,-8.3
"90","Nomar","Mazara","mazan001","RF",4.509579669,469,252.9359168,5560000,878.1,-7.2,-3.7
"91","James","McCann","mccaj001","C",4.364807068,476,248.702059,5400000,905.1,1.8,NA
"92","Yadier","Molina","moliy001","C",-7.930769739,452,232.8556689,2e+07,939.1,8.9,NA
"93","Mitch","Moreland","morem001","1B",4.034886327,335,189.7638676,2500000,663.2,-7.5,-3.7
"94","Mike","Moustakas","mousm001","2B",9.173473447,584,315.7634471,1.2e+07,1157.4,2.1,0
"95","Max","Muncy","muncm001","1B",37.05481188,589,310.5472917,2500000,922.3,-1.4,3.9
"96","Daniel","Murphy","murpd006","1B",10.73863953,478,251.1035777,8e+06,884.1,-7.6,-0.2
"97","Wil","Myers","myerw001","LF",-6.693795057,489,239.597028,22500000,917.3,-5.8,-13.1
"98","Omar","Narvaez","narvo001","C",0.932422896,482,243.0027728,2725000,815.2,-6.5,NA
"99","Marcell","Ozuna","ozunm001","LF",7.21690295,549,293.9453009,1.8e+07,1112,0,8.6
"100","Joe","Panik","panij002","2B",-14.15106124,491,253.1222629,2850000,955.1,3.8,2.8
"101","Joc","Pederson","pedej001","LF",16.36084788,514,261.307029,7750000,525.2,2.5,16.5
"102","Jose","Peraza","peraj003","2B",-19.46189527,404,193.1437623,2850000,441.1,1.2,2
"103","Tommy","Pham","phamt001","LF",9.581793553,654,344.8161314,7900000,1093.1,-5.2,1.6
"104","Kevin","Pillar","pillk001","CF",-8.678651754,645,335.4530082,4250000,1170,1.5,-1.6
"105","Chad","Pinder","pindc001","LF",-9.648164657,370,198.1542415,2025000,304.2,-0.9,3.2
"106","A.J.","Pollock","polla001","LF",-1.191658912,342,188.9256967,1.5e+07,510,-5.2,-20.2
"107","Buster","Posey","poseb001","C",-14.52424372,445,221.8066463,22177777,846.1,18.8,NA
"108","Jurickson","Profar","profj001","2B",-6.950429943,518,271.4927999,5700000,1024,0.8,-1
"109","Albert","Pujols","pujoa001","1B",3.558475919,545,303.8202207,2.9e+07,860.2,-10.8,-3.6
"110","Wilson","Ramos","ramow001","C",12.64994802,524,270.1273865,10250000,1016.1,0.1,NA
"111","J.T.","Realmuto","realj001","C",5.061897902,593,307.2124327,1e+07,1139.1,27.8,NA
"112","Josh","Reddick","reddj001","RF",0.88888916,550,291.5255803,1.3e+07,932,-5.1,-0.5
"113","Anthony","Rendon","renda001","3B",61.31469835,646,349.1312091,26071428,1265.1,4.2,2
"114","Hunter","Renfroe","renfh001","RF",-6.422221567,494,241.6454403,3300000,982.3,4.6,24.7
"115","Anthony","Rizzo","rizza001","1B",46.68022489,613,301.8157198,16500000,1226.2,-6.9,2.9
"116","Eddie","Rosario","rosae001","LF",12.19494165,590,319.0923588,7750000,1048,-11.1,-7.5
"117","Gary","Sanchez","sancg002","C",6.982781462,446,226.3459549,5e+06,742.2,1.5,NA
"118","Miguel","Sano","sanom001","1B",21.19078575,439,219.2980742,7e+06,793,-5.3,-19.9
"119","Carlos","Santana","santc002","1B",29.42301525,686,338.59762,20833334,1185.2,-8.6,1.5
"120","Domingo","Santana","santd002","RF",0.48693231,507,249.6362581,1250000,865.2,-20.6,-41.9
"121","Jonathan","Schoop","schoj001","2B",-5.136770602,464,230.8111802,6100000,983.1,-2,-9.2
"122","Kyle","Schwarber","schwk001","LF",18.05710316,610,317.9316998,7010000,1156.2,-6.8,-0.9
"123","Corey","Seager","seagc001","SS",15.99495432,541,296.6543205,7600000,1082.2,4.1,-2.8
"124","Kyle","Seager","seagk001","3B",7.074476672,443,236.038162,19500000,909.2,8.4,8.2
"125","Jean","Segura","seguj002","2B",-0.390432193,618,304.0990478,14850000,1212.2,5,-1.2
"126","Marcus","Semien","semim001","SS",40.52726449,747,356.7555799,1.3e+07,1435,14.1,5
"127","Andrelton","Simmons","simma001","SS",-16.02163641,424,219.9619767,1.5e+07,873.1,14.9,13.8
"128","Mallex","Smith","smitm007","CF",-22.41348764,566,294.2249839,2350000,884.1,-6.9,-11.2
"129","Justin","Smoak","smoaj001","1B",5.062249443,500,237.1084589,4e+06,772,-8.6,-3.2
"130","Eric","Sogard","sogae001","2B",7.959612809,442,217.3840042,4e+06,572,-0.9,-3.9
"131","Jorge","Soler","solej001","DH",35.43364659,679,353.7960119,7300000,447.1,-5.7,-9.9
"132","George","Springer","sprig001","CF",31.9224631,556,304.2874626,2.1e+07,914.3,7.7,35.3
"133","Trevor","Story","stort001","SS",30.70902435,656,334.0704616,9e+06,1257.1,15.1,10.3
"134","Kurt","Suzuki","suzuk001","C",9.975005157,309,172.7020382,6e+06,628.1,-4.9,NA
"135","Dansby","Swanson","swand001","SS",-6.954562077,545,300.2553884,3150000,1090.2,-0.8,-5.9
"136","Eric","Thames","thame001","1B",10.67195329,459,232.1130395,3e+06,782,-7,-0.7
"137","Mike","Trout","troum001","CF",65.34535263,600,319.7751883,37666667,1051.2,0.9,-1.2
"138","Justin","Turner","turnj001","3B",22.47544284,549,264.2693246,2e+07,1023.2,-5,-12.9
"139","Trea","Turner","turnt001","SS",10.94330184,568,291.3072548,7450000,1065.1,-1.5,-8.8
"140","Jonathan","Villar","villj001","CF",-0.155483443,714,360.5341523,8200000,1391.1,-1.3,-15.1
"141","Joey","Votto","vottj001","1B",3.730459066,608,297.6040252,2.5e+07,1131.2,-9,1
"142","Neil","Walker","walkn001","2B",-6.537816692,381,200.5063852,1e+06,531.2,-6.1,-12
"143","Tony","Wolters","woltt001","C",-3.675486278,411,219.3580688,1900000,904.1,3.5,NA
"144","Kolten","Wong","wongk001","2B",12.17105464,549,272.9098431,10250000,1195.1,7.2,4.9
"145","Christian","Yelich","yelic001","LF",56.13239208,579,293.7901973,12500000,1061,-5,0.5
